txn_ref,from_account,to_account,from_customer,to_customer,amount,currency,channel,transaction_type,timestamp,description,ip_address,device_id,location,scenario_label
TXNCCEB6DC937FE,ACC002,VENDOR009,C002,,15190.53,INR,NEFT,DEBIT,2024-01-04T01:16:22.623143+00:00,Vendor payment,45.33.0.1,DEV_B002,Delhi,A_NORMAL
TXN9A5E78EEED9E,ACC011,RETAIL019,C011,,3810.82,INR,UPI,DEBIT,2024-01-05T04:18:57.316359+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN74D22065FF2A,ACC011,RETAIL030,C011,,2070.54,INR,UPI,DEBIT,2024-01-05T13:24:30.602552+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN3A90CAFD7819,ACC001,SHOP128,C001,,451.17,INR,UPI,DEBIT,2024-01-07T20:07:59.410052+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNF295659BA851,ACC002,VENDOR042,C002,,14177.04,INR,NEFT,DEBIT,2024-01-09T03:21:23.745178+00:00,Vendor payment,45.33.0.1,DEV_B002,Delhi,A_NORMAL
TXN2D22501FEB88,ACC002,VENDOR048,C002,,16227.36,INR,NEFT,DEBIT,2024-01-09T04:52:05.374315+00:00,Vendor payment,45.33.0.1,DEV_B002,Delhi,A_NORMAL
TXN960F450DBC78,ACC001,SHOP100,C001,,1565.85,INR,UPI,DEBIT,2024-01-11T00:04:39.331163+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNA28CB3518DE8,ACC001,SHOP181,C001,,1701.4,INR,UPI,DEBIT,2024-01-11T03:19:05.525663+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN2BD5120B1D4A,ACC002,VENDOR028,C002,,22956.46,INR,NEFT,DEBIT,2024-01-13T00:58:57.905680+00:00,Vendor payment,45.33.0.1,DEV_B002,Delhi,A_NORMAL
TXN5CEAE1A44F3A,ACC001,SHOP181,C001,,1438.69,INR,UPI,DEBIT,2024-01-14T11:58:30.310831+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNE059A85FBC63,ACC001,SHOP143,C001,,700.17,INR,UPI,DEBIT,2024-01-14T12:53:03.433720+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNE120D9B6B073,ACC001,SHOP184,C001,,610.22,INR,UPI,DEBIT,2024-01-18T10:46:24.083258+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN64857D2699DF,ACC011,RETAIL016,C011,,1196.59,INR,UPI,DEBIT,2024-01-18T21:08:17.811241+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN598D9523BFB8,ACC011,RETAIL007,C011,,3513.77,INR,UPI,DEBIT,2024-01-20T01:53:03.658987+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN0E2C499358C9,ACC002,VENDOR046,C002,,11293.56,INR,NEFT,DEBIT,2024-01-20T13:11:07.119763+00:00,Vendor payment,45.33.0.1,DEV_B002,Delhi,A_NORMAL
TXNBFB49EB1D7A5,ACC001,SHOP143,C001,,383.98,INR,UPI,DEBIT,2024-01-23T22:58:37.407729+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNE069CA984211,ACC001,SHOP129,C001,,1759.67,INR,UPI,DEBIT,2024-01-24T01:15:31.444760+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNA49CF50C283A,ACC001,SHOP169,C001,,356.49,INR,UPI,DEBIT,2024-01-26T05:26:28.668028+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN3330B762EB54,ACC011,RETAIL012,C011,,1782.44,INR,UPI,DEBIT,2024-01-27T13:28:09.679364+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN1A9931A50295,ACC001,SHOP193,C001,,640.66,INR,UPI,DEBIT,2024-01-28T18:33:37.655932+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNAF3FE4FEB3BF,ACC011,RETAIL002,C011,,725.64,INR,UPI,DEBIT,2024-01-29T20:07:57.144815+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN681C1978B9BA,ACC001,SHOP111,C001,,593.55,INR,UPI,DEBIT,2024-01-31T03:34:59.116636+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNBC80E7A3E5B8,ACC011,RETAIL003,C011,,2919.35,INR,UPI,DEBIT,2024-01-31T07:19:57.816383+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXNA11B1142E7E0,ACC011,RETAIL006,C011,,755.96,INR,UPI,DEBIT,2024-01-31T10:05:06.546274+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN43444C78DA24,ACC011,RETAIL022,C011,,3126.53,INR,UPI,DEBIT,2024-02-01T09:15:37.170696+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXNA3ECBF0FCF60,ACC002,ACC_FOREIGN_001,C002,C_FOREIGN_001,2169352.19,INR,RTGS,DEBIT,2024-02-03T08:57:13.765288+00:00,Wire transfer,45.33.0.1,DEV_B002,Delhi,B_LARGE_TRANSFER
TXNA76188AC9FDD,ACC011,RETAIL015,C011,,3295.22,INR,UPI,DEBIT,2024-02-03T15:11:56.408009+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXNC61E821EED32,ACC001,SHOP153,C001,,596.79,INR,UPI,DEBIT,2024-02-05T14:24:00.750126+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN04441164041F,ACC011,RETAIL019,C011,,3175.34,INR,UPI,DEBIT,2024-02-07T04:02:39.187069+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN0E7A033D43E5,ACC001,SHOP182,C001,,328.52,INR,UPI,DEBIT,2024-02-08T03:07:45.321913+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN5D75267EC6AC,ACC011,RETAIL013,C011,,1088.95,INR,UPI,DEBIT,2024-02-08T18:01:44.821179+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN703EE651BE0A,ACC001,SHOP171,C001,,557.91,INR,UPI,DEBIT,2024-02-09T00:14:10.910025+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN4BA359A41DF7,ACC011,RETAIL003,C011,,3177.66,INR,UPI,DEBIT,2024-02-10T08:06:03.513252+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN927A7868AD46,ACC002,ACC_FOREIGN_001,C002,C_FOREIGN_001,3607129.8,INR,RTGS,DEBIT,2024-02-11T17:21:35.885364+00:00,Wire transfer,45.33.0.1,DEV_B002,Delhi,B_LARGE_TRANSFER
TXN1524CCC21EF3,ACC001,SHOP146,C001,,1239.23,INR,UPI,DEBIT,2024-02-11T21:40:25.392289+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN7358E085DB60,ACC001,SHOP126,C001,,1406.32,INR,UPI,DEBIT,2024-02-12T03:46:39.229886+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN72591E95D41C,ACC002,ACC_FOREIGN_001,C002,C_FOREIGN_001,3554506.49,INR,RTGS,DEBIT,2024-02-12T05:48:59.357799+00:00,Wire transfer,45.33.0.1,DEV_B002,Delhi,B_LARGE_TRANSFER
TXNC6AC5C7B1503,ACC001,SHOP181,C001,,400.4,INR,UPI,DEBIT,2024-02-14T05:02:07.827576+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXN68DAEEB68115,ACC001,SHOP144,C001,,1286.71,INR,UPI,DEBIT,2024-02-18T09:53:37.085843+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNDFA6C4934478,ACC001,SHOP110,C001,,1193.67,INR,UPI,DEBIT,2024-02-19T15:26:13.216496+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNAE38A63E57F7,ACC011,RETAIL013,C011,,1039.49,INR,UPI,DEBIT,2024-02-23T00:38:48.612506+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXNC2619C024AA8,ACC011,RETAIL011,C011,,4680.58,INR,UPI,DEBIT,2024-02-25T13:59:59.103679+00:00,Retail,106.51.10.2,DEV_G011,Kolkata,A_NORMAL
TXN4C89E0994A4C,ACC001,SHOP158,C001,,1165.21,INR,UPI,DEBIT,2024-02-27T23:55:54.918461+00:00,Regular purchase,103.21.45.1,DEV_A001,Mumbai,A_NORMAL
TXNE268800D00F0,ACC011,ACC_SUSPICIOUS_01,C011,C_SUSPICIOUS_01,950000.0,INR,IMPS,DEBIT,2024-03-03T02:00:00+00:00,Urgent transfer,192.0.2.99,DEV_UNKNOWN,Unknown,G_MIXED_SUSPICIOUS
TXNFF7CCBD8F82B,ACC003,ACC_STRUCT_03,C003,C_S03,97837.53,INR,CASH,DEBIT,2024-03-06T01:02:39.384081+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXN1E5395588A55,ACC003,ACC_STRUCT_00,C003,C_S00,90171.3,INR,IMPS,DEBIT,2024-03-06T02:52:24.899261+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNE97CFF8D222D,ACC003,ACC_STRUCT_01,C003,C_S01,95262.29,INR,IMPS,DEBIT,2024-03-13T02:45:57.190625+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXN03DF3DB96BDF,ACC003,ACC_STRUCT_00,C003,C_S00,94663.48,INR,CASH,DEBIT,2024-03-19T15:14:24.362921+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXN15A43D597950,ACC003,ACC_STRUCT_00,C003,C_S00,98041.58,INR,CASH,DEBIT,2024-03-20T10:45:40.140094+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNF96B9608971F,ACC003,ACC_STRUCT_02,C003,C_S02,94555.7,INR,CASH,DEBIT,2024-03-21T19:48:14.599385+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNBCD7A5A5B030,ACC003,ACC_STRUCT_03,C003,C_S03,96157.96,INR,IMPS,DEBIT,2024-03-24T15:23:27.915048+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXND0A86F34E7BA,ACC003,ACC_STRUCT_03,C003,C_S03,89899.36,INR,IMPS,DEBIT,2024-03-26T04:32:12.272865+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXN0477EDF940B4,ACC003,ACC_STRUCT_02,C003,C_S02,94330.66,INR,CASH,DEBIT,2024-03-27T15:46:24.133017+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNAE19ED556596,ACC003,ACC_STRUCT_02,C003,C_S02,91514.25,INR,CASH,DEBIT,2024-03-27T18:10:00.881137+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNEDD0D14DEE16,ACC003,ACC_STRUCT_01,C003,C_S01,89204.51,INR,IMPS,DEBIT,2024-03-27T21:40:47.107318+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNC9DCC8D221CA,ACC003,ACC_STRUCT_01,C003,C_S01,99015.07,INR,IMPS,DEBIT,2024-03-30T14:45:33.952271+00:00,Cash deposit,192.168.1.10,DEV_C003,Bengaluru,C_STRUCTURING
TXNE5A0BD07E2DA,ACC_SOURCE_0,ACC004,C_SRC_0,C004,429750.33,INR,IMPS,CREDIT,2024-04-05T10:00:00+00:00,Fund transfer,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXN56E38B9CAF3F,ACC004,ACC_DEST_0,C004,C_DST_0,219801.35,INR,IMPS,DEBIT,2024-04-05T10:28:48+00:00,Fund transfer out,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXN0FA60C3DFA70,ACC_SOURCE_1,ACC004,C_SRC_1,C004,342584.71,INR,IMPS,CREDIT,2024-04-05T10:57:36+00:00,Fund transfer,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXNE3C966EFE4FC,ACC004,ACC_DEST_1,C004,C_DST_1,350439.11,INR,IMPS,DEBIT,2024-04-05T11:26:24+00:00,Fund transfer out,10.0.0.1,DEV_D004,Chennai,D_LAYERING
